FILENAME,NAME,NAME_OVERRIDE,GAME,UID,LOD,PORTAL,TAG,TAG_HUMAN,IS_HUB,IS_SPHERE,MANUAL,IS_SUBAREA,IS_FIRST_OCCURRENCE,COUNT,DATA_MD5
s1-1_021-n.L.obj,Sunny Flight,,s1,21,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,b32dcc1f99fd1613dbde9ded5ea43226
s1-1_021-n.M.obj,Sunny Flight,,s1,21,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,bda4e7ab8a725273128417395f1b8bb4
s1-1_021-n.S.obj,Sunny Flight,Sunny Flight,s1,21,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,2,55f4e03bbf1bf6ae5ac8951dfeb9fbc4
s1-1_021-n.T.obj,Sunny Flight,,s1,21,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,009c0d809cda5492741cdab2205aec37
s1-1_023-n.F.obj,Peace Keepers,,s1,23,1,,F,COLORS,TRUE,,,FALSE,TRUE,1,56b713da44a538c7f3849c71f49b4812
s1-1_023-n.L.obj,Peace Keepers,,s1,23,1,,L,LOWPOLY,TRUE,,,FALSE,TRUE,1,5a3a2b3a07e825529c115445f9e1794c
s1-1_023-n.M.obj,Peace Keepers,,s1,23,1,,M,LIGHTSHADE,TRUE,,,FALSE,TRUE,1,29928387bc80ca22ff0fc39c4973526f
s1-1_023-n.S.obj,Peace Keepers,Peace Keepers,s1,23,1,,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,677821af99c040a6d2b51e2b732fd314
s1-1_023-n.T.obj,Peace Keepers,,s1,23,1,,T,TEXTURES,TRUE,,,FALSE,TRUE,1,5bb80544d5465bd921dc3c6d8888e298
s1-1_023_2-n.S.obj,Peace Keepers,Dry Canyon,s1,23,1,2,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,430caad023b3106d47bf62eb473f6e2b
s1-1_023_3-n.S.obj,Peace Keepers,Cliff Town,s1,23,1,3,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,3,bdb86ee302966b41dd02b1a8e24eddfd
s1-1_023_4-n.S.obj,Peace Keepers,Ice Cavern,s1,23,1,4,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,47235e5bff27de95acf1717fde4aa4b7
s1-1_023_5-n.S.obj,Peace Keepers,Doctor Shemp,s1,23,1,5,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,3,ab0f2cd34a0f6cc74a7d2f444c9bf58a
s1-1_023_6-n.S.obj,Peace Keepers,Night Flight,s1,23,1,6,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,1e99a9187bf6a845b09f2fb2c14fd25a
s1-1_025-n.F.obj,Dry Canyon,,s1,25,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,98398dc56bc2b96c152dc9ac21d4b446
s1-1_025-n.L.obj,Dry Canyon,,s1,25,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,5529a99c9e581b46925c03c2221dd004
s1-1_025-n.M.obj,Dry Canyon,,s1,25,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,25b826da1c3afca1eff82162a06446dd
s1-1_025-n.S.obj,Dry Canyon,Dry Canyon,s1,25,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,2,430caad023b3106d47bf62eb473f6e2b
s1-1_025-n.T.obj,Dry Canyon,,s1,25,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,b70d516539cec74b2981e7712ad0c14d
s1-1_027-n.F.obj,Cliff Town,,s1,27,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,d91cd35e1e228d16510b6f859015fb2a
s1-1_027-n.L.obj,Cliff Town,,s1,27,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,c04c1be6083ab3e92511e8cef9f948ca
s1-1_027-n.M.obj,Cliff Town,,s1,27,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,b54656af9ca4c897dff8483b62f62e64
s1-1_027-n.S.obj,Cliff Town,Cliff Town,s1,27,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,3,bdb86ee302966b41dd02b1a8e24eddfd
s1-1_027-n.T.obj,Cliff Town,,s1,27,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,69be45087f92f6eecb424f2db55c1418
s1-1_029-n.F.obj,Ice Cavern,,s1,29,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,9b2508b2aebc19fbd40d95520949da5a
s1-1_029-n.L.obj,Ice Cavern,,s1,29,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,8f130079841e3b5b71a8336585bdd259
s1-1_029-n.M.obj,Ice Cavern,,s1,29,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,f16aefbd4ed7c5b2f39a3b6dc28ae634
s1-1_029-n.S.obj,Ice Cavern,Ice Cavern,s1,29,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,2,47235e5bff27de95acf1717fde4aa4b7
s1-1_029-n.T.obj,Ice Cavern,,s1,29,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,d90fc37d46287a4b45f9f34aca4a00d7
s1-1_031-n.F.obj,Doctor Shemp,,s1,31,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,5dba21762d1d9b679dbb53203b5becb5
s1-1_031-n.L.obj,Doctor Shemp,,s1,31,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,f956c10abc2fb35f28fab226480d00d1
s1-1_031-n.M.obj,Doctor Shemp,,s1,31,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,a62c9e7dfb2c518a1a8aec1c834effc4
s1-1_031-n.S.obj,Doctor Shemp,Doctor Shemp,s1,31,1,,S,SKY,FALSE,FALSE,TRUE,FALSE,FALSE,3,ab0f2cd34a0f6cc74a7d2f444c9bf58a
s1-1_031-n.T.obj,Doctor Shemp,,s1,31,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,06148fc661875c03f9845e64cab6f397
s1-1_033-n.F.obj,Night Flight,,s1,33,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,2d21da1928113bffea2334a76692ff90
s1-1_033-n.L.obj,Night Flight,,s1,33,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,d1d0952f308106c2290d1bbe49be8218
s1-1_033-n.M.obj,Night Flight,,s1,33,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,f7d7cccb3d1edaba5d8bb54e7080b76f
s1-1_033-n.S.obj,Night Flight,Night Flight,s1,33,1,,S,SKY,FALSE,FALSE,TRUE,FALSE,FALSE,2,1e99a9187bf6a845b09f2fb2c14fd25a
s1-1_033-n.T.obj,Night Flight,,s1,33,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,8210b3b403e6d645065db96d2b7c8405
s1-1_035-n.F.obj,Magic Crafters,,s1,35,1,,F,COLORS,TRUE,,,FALSE,TRUE,1,3ab611f29ebdee0c03facb6fac250f18
s1-1_035-n.L.obj,Magic Crafters,,s1,35,1,,L,LOWPOLY,TRUE,,,FALSE,TRUE,1,451ec3d96c50a8c3bc67fdac4ece18a1
s1-1_035-n.M.obj,Magic Crafters,,s1,35,1,,M,LIGHTSHADE,TRUE,,,FALSE,TRUE,1,79169dcd403698c162a6b411b1634ef0
s1-1_035-n.S.obj,Magic Crafters,Magic Crafters,s1,35,1,,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,fa45734e28aca9cc7fb541c552c11771
s1-1_035-n.T.obj,Magic Crafters,,s1,35,1,,T,TEXTURES,TRUE,,,FALSE,TRUE,1,6fb2dcb8eb5e01d9be2043b029158529
s1-1_035_2-n.S.obj,Magic Crafters,Blowhard,s1,35,1,2,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,289af3f73760640999476ef7403ba7ae
s1-1_035_3-n.S.obj,Magic Crafters,Crystal Flight,s1,35,1,3,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,1590ee1312e1c09d0e530b761ed4f09d
s1-1_035_4-n.S.obj,Magic Crafters,Alpine Ridge,s1,35,1,4,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,4881a82b8750562cae3486774bab8483
s1-1_035_5-n.S.obj,Magic Crafters,Wizard Peak,s1,35,1,5,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,3,242ff835c5382d6400848bfa44fc0860
s1-1_035_6-n.S.obj,Magic Crafters,High Caves,s1,35,1,6,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,3,d29438d339da067f2faaa34ce1f67718
s1-1_037-n.F.obj,Alpine Ridge,,s1,37,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,24f4ca10ba972e3b170dea84c5a719a7
s1-1_037-n.L.obj,Alpine Ridge,,s1,37,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,57ca09836b9ed2ee3a4da1173e0744f8
s1-1_037-n.M.obj,Alpine Ridge,,s1,37,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,64704b8d810b1c8090065ed25c7e1976
s1-1_037-n.S.obj,Alpine Ridge,Alpine Ridge,s1,37,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,2,4881a82b8750562cae3486774bab8483
s1-1_037-n.T.obj,Alpine Ridge,,s1,37,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,fda6481611eaccd3b5c57d5a5cf27589
s1-1_039-n.F.obj,High Caves,,s1,39,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,9a27f01baa39d2fdf9297eee4d4a48d4
s1-1_039-n.L.obj,High Caves,,s1,39,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,27b00dc3fb3a8545b5431b8716348188
s1-1_039-n.M.obj,High Caves,,s1,39,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,2aac3ab7ec92e2ec3a2a3f77b70cd403
s1-1_039-n.S.obj,High Caves,High Caves,s1,39,1,,S,SKY,FALSE,FALSE,TRUE,FALSE,FALSE,3,d29438d339da067f2faaa34ce1f67718
s1-1_039-n.T.obj,High Caves,,s1,39,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,282220a96a96d0d6a6bdc3acdd9e4318
s1-1_041-n.F.obj,Wizard Peak,,s1,41,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,226b1c1693b6b6310a88db037fd4d937
s1-1_041-n.L.obj,Wizard Peak,,s1,41,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,862dd3d2060df68280e327c3f3433c1c
s1-1_041-n.M.obj,Wizard Peak,,s1,41,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,c000ae64daead0fb5a6214d8a05e632d
s1-1_041-n.S.obj,Wizard Peak,Wizard Peak,s1,41,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,3,242ff835c5382d6400848bfa44fc0860
s1-1_041-n.T.obj,Wizard Peak,,s1,41,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,84dd25629b1b708d8bd3b5c2aaf7d11b
s1-1_043-n.F.obj,Blowhard,,s1,43,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,d157a5a8df5da83aef3a66bc70d63682
s1-1_043-n.L.obj,Blowhard,,s1,43,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,3af18ecdad087df9768706dceb46d300
s1-1_043-n.M.obj,Blowhard,,s1,43,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,f0b539d72de55eae47c6c8da67b66970
s1-1_043-n.S.obj,Blowhard,Blowhard,s1,43,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,2,289af3f73760640999476ef7403ba7ae
s1-1_043-n.T.obj,Blowhard,,s1,43,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,af4c6e3348ef7196e5432607c170a2a4
s1-1_045-n.F.obj,Crystal Flight,,s1,45,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,dc9a18a6750e40deaaa5658a4fcee875
s1-1_045-n.L.obj,Crystal Flight,,s1,45,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,d98bacb8f66c662cba8fad8fe88d72f6
s1-1_045-n.M.obj,Crystal Flight,,s1,45,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,5c5351ef1656b3e76dd6bffec1e49394
s1-1_045-n.S.obj,Crystal Flight,Crystal Flight,s1,45,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,2,1590ee1312e1c09d0e530b761ed4f09d
s1-1_045-n.T.obj,Crystal Flight,,s1,45,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,a1f1e157ab6e63bd7dfd58be4a9ff7af
s1-1_047-n.F.obj,Beast Makers,,s1,47,1,,F,COLORS,TRUE,,,FALSE,TRUE,1,b02caddf657e1c5ab24de2da5852ba0e
s1-1_047-n.L.obj,Beast Makers,,s1,47,1,,L,LOWPOLY,TRUE,,,FALSE,TRUE,1,0f2d21ded7ff5bb89ffff93b8bb11136
s1-1_047-n.M.obj,Beast Makers,,s1,47,1,,M,LIGHTSHADE,TRUE,,,FALSE,TRUE,1,5341e660155fef7866eb82058b713478
s1-1_047-n.S.obj,Beast Makers,Beast Makers,s1,47,1,,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,1,3b2da75c8950bb8e33361e73c5158eb2
s1-1_047-n.T.obj,Beast Makers,,s1,47,1,,T,TEXTURES,TRUE,,,FALSE,TRUE,1,5877d64a47a812dd1f62ce90a079dea2
s1-1_047_2-n.S.obj,Beast Makers,Metalhead,s1,47,1,2,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,3,ec064253105ce8fdd6b12cf9e29f7c38
s1-1_047_3-n.S.obj,Beast Makers,Misty Bog,s1,47,1,3,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,a48e4a2596658e17ede55723c2da6b3f
s1-1_047_4-n.S.obj,Beast Makers,Tree Tops,s1,47,1,4,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,ced4cebdd79fc8fa64fa1501c9651461
s1-1_047_5-n.S.obj,Beast Makers,Terrace Village,s1,47,1,5,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,3,f2e5199c8fd96317839a49d1b845d5b4
s1-1_047_6-n.S.obj,Beast Makers,Wild Flight,s1,47,1,6,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,3,52ba6bcf060a569e47e737913a0eaea8
s1-1_049-n.F.obj,Terrace Village,,s1,49,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,1536f3a807800670d03c34e99de357e0
s1-1_049-n.L.obj,Terrace Village,,s1,49,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,511e37b5aaa57d18e4c2150f2ff53d9d
s1-1_049-n.M.obj,Terrace Village,,s1,49,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,79fb516d7d41ff26f577d4f10d4ad78e
s1-1_049-n.S.obj,Terrace Village,Terrace Village,s1,49,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,3,f2e5199c8fd96317839a49d1b845d5b4
s1-1_049-n.T.obj,Terrace Village,,s1,49,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,10c185a30c9f4cd4a0260ff7b57bbd6c
s1-1_051-n.F.obj,Misty Bog,,s1,51,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,3f4ebeeb4f7b2411fb238d1e18dc3398
s1-1_051-n.L.obj,Misty Bog,,s1,51,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,6136a00e4539e09ee8cdc502e4bc54cc
s1-1_051-n.M.obj,Misty Bog,,s1,51,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,7936e684e48e20f1d87b45da96fd59fe
s1-1_051-n.S.obj,Misty Bog,Misty Bog,s1,51,1,,S,SKY,FALSE,FALSE,TRUE,FALSE,FALSE,2,a48e4a2596658e17ede55723c2da6b3f
s1-1_051-n.T.obj,Misty Bog,,s1,51,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,65946b6f554f596d01ebef52069600aa
s1-1_053-n.F.obj,Tree Tops,,s1,53,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,4ec2734a2589de5c725ea7b3a2b21642
s1-1_053-n.L.obj,Tree Tops,,s1,53,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,de475cc9d7a65d51419de46f7ef696ab
s1-1_053-n.M.obj,Tree Tops,,s1,53,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,57f9ca25b456b811141e077541d55aef
s1-1_053-n.S.obj,Tree Tops,Tree Tops,s1,53,1,,S,SKY,FALSE,FALSE,TRUE,FALSE,FALSE,2,ced4cebdd79fc8fa64fa1501c9651461
s1-1_053-n.T.obj,Tree Tops,,s1,53,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,1ef11de613d881e4940ede7bbc4265ba
s1-1_055-n.F.obj,Metalhead,,s1,55,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,56c233342fd3ea13cc246831fa7561f2
s1-1_055-n.L.obj,Metalhead,,s1,55,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,9daca1b5bb971eb3e300517f8919dced
s1-1_055-n.M.obj,Metalhead,,s1,55,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,921a08849ea5335efae0fd1331a015d8
s1-1_055-n.S.obj,Metalhead,Metalhead,s1,55,1,,S,SKY,FALSE,FALSE,TRUE,FALSE,FALSE,3,ec064253105ce8fdd6b12cf9e29f7c38
s1-1_055-n.T.obj,Metalhead,,s1,55,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,c9245cf2e5eff73733730df01772b351
s1-1_057-n.F.obj,Wild Flight,,s1,57,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,f6881559d09f31acfd46f2ab114abc9d
s1-1_057-n.L.obj,Wild Flight,,s1,57,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,707029b4b112389609bad969bedad165
s1-1_057-n.M.obj,Wild Flight,,s1,57,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,72c9a3a347926a5aa06bf68a5dba01fb
s1-1_057-n.S.obj,Wild Flight,Wild Flight,s1,57,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,3,52ba6bcf060a569e47e737913a0eaea8
s1-1_057-n.T.obj,Wild Flight,,s1,57,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,4ac4c88fce9210c0aa05c18c3ca7dbdf
s1-1_059-n.F.obj,Dream Weavers,,s1,59,1,,F,COLORS,TRUE,,,FALSE,TRUE,1,22bfdf0344aa27090140d01eb94e477b
s1-1_059-n.L.obj,Dream Weavers,,s1,59,1,,L,LOWPOLY,TRUE,,,FALSE,TRUE,1,cbcb7521c4dcea373ce8a635d0e02a11
s1-1_059-n.M.obj,Dream Weavers,,s1,59,1,,M,LIGHTSHADE,TRUE,,,FALSE,TRUE,1,0198f4bf2f5b6637a99ec5306c3b9779
s1-1_059-n.S.obj,Dream Weavers,Dream Weavers,s1,59,1,,S,SKY,TRUE,TRUE,FALSE,FALSE,TRUE,1,a0a4d6eab50291297abb1f1e3aabe388
s1-1_059-n.T.obj,Dream Weavers,,s1,59,1,,T,TEXTURES,TRUE,,,FALSE,TRUE,1,f12e993b62396679d899d8285e469012
s1-1_059_2-n.S.obj,Dream Weavers,Dark Passage,s1,59,1,2,S,SKY,TRUE,TRUE,FALSE,FALSE,TRUE,3,668790319cf175e0739d020b4aade541
s1-1_059_3-n.S.obj,Dream Weavers,Jacques,s1,59,1,3,S,SKY,TRUE,TRUE,FALSE,FALSE,TRUE,3,800b0bf2b300da3edf5630a656eba971
s1-1_059_4-n.S.obj,Dream Weavers,Lofty Castle,s1,59,1,4,S,SKY,TRUE,TRUE,FALSE,FALSE,TRUE,2,b36c642d50a7c937b99dce4aa3e76d41
s1-1_059_5-n.S.obj,Dream Weavers,Icy Flight,s1,59,1,5,S,SKY,TRUE,TRUE,FALSE,FALSE,TRUE,2,268fab921595e7a236aa8553ac4d097c
s1-1_059_6-n.S.obj,Dream Weavers,Haunted Towers,s1,59,1,6,S,SKY,TRUE,TRUE,FALSE,FALSE,TRUE,3,00dc38f6b49809f749a1d520a78d8967
s1-1_061-n.F.obj,Dark Passage,,s1,61,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,7619e703eac43d6743c8d0a653af9c35
s1-1_061-n.L.obj,Dark Passage,,s1,61,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,f79878ee245cfb0692e60979ca6c3091
s1-1_061-n.M.obj,Dark Passage,,s1,61,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,7a62d75e05e5a8fdfe80f6cda3253c63
s1-1_061-n.S.obj,Dark Passage,Dark Passage,s1,61,1,,S,SKY,FALSE,TRUE,FALSE,FALSE,FALSE,3,668790319cf175e0739d020b4aade541
s1-1_061-n.T.obj,Dark Passage,,s1,61,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,f4b23620c76debfb5e459ae65e91ab63
s1-1_063-n.F.obj,Lofty Castle,,s1,63,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,84d88ed6d9bfc678688f6879b9f3898f
s1-1_063-n.L.obj,Lofty Castle,,s1,63,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,f2f461e6222e43bcc732c83a7b5d7bb5
s1-1_063-n.M.obj,Lofty Castle,,s1,63,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,67c67afe3dad3819c088dd78f3673797
s1-1_063-n.S.obj,Lofty Castle,Lofty Castle,s1,63,1,,S,SKY,FALSE,TRUE,FALSE,FALSE,FALSE,2,b36c642d50a7c937b99dce4aa3e76d41
s1-1_063-n.T.obj,Lofty Castle,,s1,63,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,f7c45faa39a8540f28c6d48958cfe7b3
s1-1_065-n.F.obj,Haunted Towers,,s1,65,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,c094f8880139c7a9931fc2798a4971ab
s1-1_065-n.L.obj,Haunted Towers,,s1,65,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,1f7289eb9e1a635f6702055538cc7f87
